gwgroupid,countries_gwid,year,groupname,countryname,statusname,status_pwrrank,upgraded10,incidence_flag,incidence_terr_flag,incidence_gov_flag,geo_concentrated
41102000,411,1980,Ndowe,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41103000,411,1980,Bubi,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41104000,411,1980,Fernandinos,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41105000,411,1980,Annobon Islanders,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
45003000,450,1980,Indigenous Peoples,Liberia,DISCRIMINATED,1,0,1,0,1,1
50002000,500,1980,Baganda,Uganda,DISCRIMINATED,1,1,0,0,0,1
50004000,500,1980,Basoga,Uganda,DISCRIMINATED,1,0,0,0,0,1
50007000,500,1980,Karamojong,Uganda,DISCRIMINATED,1,0,0,0,0,1
50009110,500,1980,"Far North-West Nile (Kakwa-Nubian, Madi, Lugbara, Alur)",Uganda,DISCRIMINATED,1,1,0,0,0,1
50011000,500,1980,"South-Westeners (Ankole, Banyoro, Toro, Banyarwanda)",Uganda,DISCRIMINATED,1,0,0,0,0,1
50103000,501,1980,Kikuyu-Meru-Emb,Kenya,DISCRIMINATED,1,0,0,0,0,1
50106000,501,1980,Luo,Kenya,DISCRIMINATED,1,0,0,0,0,1
50108000,501,1980,Somali,Kenya,DISCRIMINATED,1,0,0,0,0,1
51003000,510,1980,Zanzibar Arabs,Tanzania (Tanganyika),DISCRIMINATED,1,0,0,0,0,1
51601000,516,1980,Hutu,Burundi,DISCRIMINATED,1,0,0,0,0,0
51702000,517,1980,Tutsi,Rwanda,DISCRIMINATED,1,0,0,0,0,0
53001000,530,1980,Afar,Ethiopia,DISCRIMINATED,1,0,0,0,0,1
53006000,530,1980,Oroma,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53008000,530,1980,Somali (Ogaden),Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53009000,530,1980,Tigry,Ethiopia,DISCRIMINATED,1,0,1,0,1,1
53010000,530,1980,Christian Eritreans,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53011000,530,1980,Muslim Eritreans,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53013000,530,1980,Sidama,Ethiopia,DISCRIMINATED,1,0,0,0,0,0
